timestamp,cpu_temp_c,cpu_percent,ram_used_mb,ram_percent,ram_available_mb
2026-04-01T00:05:59.485016,51.25,0.0,1434.77,17.8,6628.31
2026-04-01T00:06:00.485736,50.15,2.5,1434.47,17.8,6628.61
2026-04-01T00:06:01.486597,50.15,1.3,1434.48,17.8,6628.59
2026-04-01T00:06:02.487399,48.5,3.0,1433.83,17.8,6629.25
2026-04-01T00:06:03.488237,47.95,0.2,1432.31,17.8,6630.77
2026-04-01T00:06:04.489052,49.05,2.3,1428.95,17.7,6634.12
2026-04-01T00:06:05.489764,47.4,0.0,1427.06,17.7,6636.02
2026-04-01T00:06:06.490561,48.5,3.3,1425.3,17.7,6637.78
2026-04-01T00:06:07.491182,49.05,0.5,1422.81,17.6,6640.27
2026-04-01T00:06:08.491759,48.5,2.0,1419.88,17.6,6643.2
2026-04-01T00:06:09.492305,49.6,0.0,1418.33,17.6,6644.75
2026-04-01T00:06:10.492827,49.05,1.5,1417.81,17.6,6645.27
2026-04-01T00:06:11.493372,48.5,0.3,1416.39,17.6,6646.69
2026-04-01T00:06:12.494067,48.5,3.0,1414.14,17.5,6648.94
2026-04-01T00:06:13.502078,47.95,0.0,1412.84,17.5,6650.23
2026-04-01T00:06:14.502801,48.5,2.5,1413.47,17.5,6649.61
2026-04-01T00:06:15.503456,47.95,0.2,1412.06,17.5,6651.02
2026-04-01T00:06:16.504158,48.5,3.2,1413.45,17.5,6649.62
2026-04-01T00:06:17.504861,47.95,0.3,1410.0,17.5,6653.08
2026-04-01T00:06:18.513486,47.95,2.7,1409.7,17.5,6653.38
2026-04-01T00:06:19.514324,47.95,0.2,1408.91,17.5,6654.17
2026-04-01T00:06:20.515002,47.95,1.8,1408.0,17.5,6655.08
2026-04-01T00:06:21.515802,48.5,5.3,1414.73,17.5,6648.34
2026-04-01T00:06:22.516431,49.6,13.8,1428.98,17.7,6634.09
2026-04-01T00:06:23.516976,50.15,2.8,1428.39,17.7,6634.69
2026-04-01T00:06:24.517577,49.05,0.0,1427.05,17.7,6636.03
2026-04-01T00:06:25.518171,48.5,1.5,1421.56,17.6,6641.52
2026-04-01T00:06:26.518782,48.5,1.0,1422.19,17.6,6640.89
2026-04-01T00:06:27.519425,47.95,2.2,1420.75,17.6,6642.33
2026-04-01T00:06:28.520267,49.05,1.2,1418.53,17.6,6644.55
2026-04-01T00:06:29.521102,47.95,2.3,1418.7,17.6,6644.38
2026-04-01T00:06:30.521786,47.95,0.0,1415.33,17.6,6647.75
2026-04-01T00:06:31.522593,49.05,2.8,1418.3,17.6,6644.78
2026-04-01T00:06:32.523108,48.5,0.3,1414.91,17.5,6648.17
2026-04-01T00:06:33.523641,48.5,2.0,1413.39,17.5,6649.69
2026-04-01T00:06:34.524192,49.6,0.0,1412.06,17.5,6651.02
2026-04-01T00:06:35.524710,50.7,1.8,1410.83,17.5,6652.25
2026-04-01T00:06:36.525237,49.05,1.0,1410.59,17.5,6652.48
2026-04-01T00:06:37.525938,49.05,2.8,1410.23,17.5,6652.84
